id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
14, SelFin,Digital Lending,"Balance Sheet Business Lending, P2P / Marketplace Business Lending",,2019,Private,India,India,51-200,,,,Active
15, Sightline Payments,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants",2008.0,2012,Private,United States,United States,51-200,,,,Active
16,100 Ladrillos,Digital Capital Raising,Real Estate Crowdfunding,,2017,Private,Unidentified,Mexico,10-Jan,,,,Active
17,100% Project ,Digital Capital Raising,Donation-Based Crowdfunding,2015.0,2015,Private,Malaysia,Malaysia,30,,,,Active
18,1000x1000 Crowdbusiness GmbH,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding, Donation-Based Crowdfunding",2012.0,2009,Private,Austria,Austria,,,,,Active
19,10xBanking,Digital Banks,Banking-as-a-Service (BaaS),2016.0,2017,Private,United Kingdom,United Kingdom,501-1000,,,,Active
20,121 Business Finance,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading, Balance Sheet Business Lending",2015.0,2015,Private,India,India,30,,,,Active
21,1BTCXE,Cryptoasset Exchange,Order-Book,,2014,Private,Panama,Panama,,2019.0,,,Inactive
22,1Crowd,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2015,Private,India,India,30,,,,Active
23,1EX.Trade,Cryptoasset Exchange,Order-Book,,2015,Private,Switzerland,Switzerland,,,,,Active
24,1inch,Cryptoasset Exchange,"Decentralised Exchange (DEX) Relayer, Aggregation",2020.0,2020,Non profit,Unidentified,British Virgin Islands,Nov-50,,,,Active
25,247Exchange,Cryptoasset Exchange,Retail Brokerage Services,2014.0,2014,Private,Belize,Unidentified,,2020.0,,,Inactive
26,2C2P,"Digital Payments, Digital Identity, Enterprise Tech Provisioning","Payment Gateways, Payment Aggregators, Bulk Payment Solutions, Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Mobile Money, eMoney Issuers, Fraud Prevention & Risk Management, Financial Management & Business Intelligence, Cloud Computing, Electronic Invoicing",2007.0,2008,Private,Singapore,Singapore,201-500,,,,Active
27,2Ext,RegTech,"Profiling & Due Diligence, Dynamic Compliance, Advising on fundraising and investment, Advising on Legal, Financial and Business",2018.0,2018,Private,Thailand,Thailand,10-Jan,,,,Active
28,2nate,Digital Capital Raising,Donation-Based Crowdfunding,2013.0,2014,Private,"Iran, Islamic Rep.","Iran, Islamic Rep.",6,,,,Active
29,37coins,Digital Custody,Hosted Cryptoasset Wallet,2015.0,2013,Private,United States,United States,10,2016.0,,,Inactive
30,3circlefunding,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Invoice Trading",2015.0,2015,Private,Switzerland,Switzerland,6,,,,Active
31,3commas,Cryptoasset Exchange,"Aggregation, Portfolio management, API Interface",2016.0,2017,Private,Estonia,Canada,18,,,,Active
32,4Told FinTech,Enterprise Tech Provisioning,Financial Management & Business Intelligence,,2016,Private,United States,United States,Nov-50,,,,Active
33,4xLabs,Digital Identity,KYC Solutions,2011.0,2011,Private,Singapore,Singapore,Nov-50,,,,Active
34,51anxintou.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015.0,2015,Private,China,China,30,,,,Active
35,51btc,Cryptoasset Exchange,"Aggregation, Online newspaper",2013.0,2013,Private,Unidentified,China,,2015.0,,,Inactive
36,5nance.com,"WealthTech, Digital Savings, Digital Payments, InsurTech","Personal Financial Management / Planning, Financial Comparison Sites, Digital Money Market / Fund  , Money Transfer (P2P / P2B / B2P / B2B), Digital Brokers or Agents",2010.0,2015,Private,India,India,51-200,,,,Active
37,7aweshly,Digital Savings,Digital Micro Saving Solutions,2017.0,2018,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",10-Jan,,,,Active
38,8percent,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",,2014,Private,"Korea, Rep.","Korea, Rep.",Nov-50,,,,Active
39,91wangcai,Digital Lending,P2P / Marketplace Consumer Lending,,2021,Private,China,China,,,,,Active
40,99Bitcoins,Digital Payments,"Money Transfer (Cryptoasset), Marketing services",2013.0,2013,Private,Singapore,Israel,,,,,Active
41,A-Trader ,Digital Capital Raising,Capital Raising Retail Brokerage,,2018,Private,Tanzania,Tanzania,10-Jan,,,,Active
42,A.IX Capital,WealthTech,"Robo-Advisors, Financial Comparison Sites, Digital Wealth Management",2015.0,2015,Private,Germany,Germany,1,,,,Active
43,a55,Digital Lending,"Debt-Based Securities, Balance Sheet Business Lending",2017.0,2017,Private,Brazil,Brazil,30,,,,Active
44,AAAccell,"RegTech, WealthTech, Enterprise Tech Provisioning","Risk Analytics, Digital Wealth Management, Financial Management & Business Intelligence, AI / ML / NLP",2012.0,2015,Private,Switzerland,Switzerland,4,,,,Active
45,"Abacus Wealth Management, Kenya","Enterprise Tech Provisioning, WealthTech","Financial Management & Business Intelligence, Digital Wealth Management, Personal Financial Management / Planning, Education and Training",2014.0,2013,Private,Kenya,Kenya,10-Jan,,,,Active
46,Abalobi,"Digital Payments, Enterprise Tech Provisioning","Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Digital Accounting, Financial Management & Business Intelligence",2017.0,2017,Non profit,South Africa,South Africa,8,,,,Active
47,ABB Insurance Broker ,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2018.0,2016,Private,Indonesia,Indonesia,Nov-50,,,,Active
48,Abhi,Digital Lending,Customer Cash-Advance,,2021,Private,Pakistan,Pakistan,Nov-50,,,,Active
49,Abra,"Digital Payments, Cryptoasset Exchange","Money Transfer (Cryptoasset), Retail Brokerage Services",2014.0,2015,Private,United States,United States,Nov-50,,,,Active
50,Abundance,Digital Lending,Debt-Based Securities,2009.0,2011,Private,United Kingdom,Israel,30,,,,Active
51,Abundance Investment,Digital Capital Raising,"Equity-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2009.0,2009,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
52,Acacia Trading,Cryptoasset Exchange,Aggregation,2014.0,2014,Private,United States,United States,10,2017.0,,,Inactive
53,Accion,Digital Lending,Balance Sheet Business Lending,1961.0,1991,Private,United States,United States,176,,,,Active
54,Accointing,WealthTech,"Personal Financial Management / Planning, Taxation, Portfolio management",2018.0,2018,Private,Switzerland,Switzerland,,,,,Active
55,ACKO ,InsurTech,"Usage-Based Insurance, Claims & Risk Management Solutions",2016.0,2018,Public,India,India,201-500,,,,Active
56,Acom,Digital Lending,Balance Sheet Consumer Lending,,2021,,Unidentified,Japan,,,,,Active
57,Acordo Certo,Digital Lending,Invoice Trading,2014.0,2014,Private,Brazil,Brazil,30,,,,Active
58,Acorns,"WealthTech, Digital Savings","Digital Wealth Management, Robo Retirement / Pension Planning, Personal Financial Management / Planning, Digital Micro Saving Solutions, Education and Training, Investment advisory",2012.0,2013,Private,United States,United States,201-500,,,,Active
59,Acqra,Digital Payments,"Acquiring Services Providers for Merchants, Payment Gateways",2013.0,2013,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
60,Acquire Real Estate,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2015,Private,United States,United States,6,,,,Active
61,Acrecent Financial,Digital Lending,Balance Sheet Business Lending,2003.0,2017,Private,Puerto Rico,Puerto Rico,30,,,,Active
62,Acreditar Banco,Digital Lending,Balance Sheet Business Lending,,2021,,Brazil,Brazil,Nov-50,,,,Active
63,Acudeen Technologies,Digital Lending,Invoice Trading,2016.0,2016,Private,Philippines,Philippines,76,,,,Active
64,ADAPTA.EARTH,Digital Lending,"Balance Sheet Business Lending, Debt-Based Securities",2021.0,2021,Private,Unidentified,Kenya,10-Jan,,,,Active
65,Addepar,"WealthTech, RegTech, Enterprise Tech Provisioning","Digital Wealth Management, Regulatory Reporting, Risk Analytics, Market Monitoring, Financial Management & Business Intelligence, Electronic Invoicing, Cloud Computing, API Management",2009.0,2010,Private,United States,United States,201-500,,,,Active
66,Addi ,"Digital Lending, Digital Payments","Customer Cash-Advance, Acquiring Services Providers for Merchants",2018.0,2018,Private,Colombia,Colombia,201-500,,,,Active
67,additiv,"Enterprise Tech Provisioning, WealthTech, RegTech, Digital Banks","Financial Management & Business Intelligence, API Management, Robo-Advisors, Digital Wealth Management, Risk Analytics, Banking-as-a-Service (BaaS)",1998.0,2016,Private,Switzerland,Switzerland,201-500,,,,Active
68,ADDX,WealthTech,"Personal Financial Management / Planning, Digital Wealth Management",2017.0,2017,Private,Singapore,Singapore,51-200,,,,Active
69,Adelantos.com ,Digital Lending,Balance Sheet Consumer Lending,2016.0,2018,Private,Panama,Argentina,10-Jan,,,,Active
70,Adianta,Digital Lending,Invoice Trading,2016.0,2017,Private,Brazil,Brazil,30,,,,Active
71,Adobe Commerce,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence",,2008,Private,United States,United States,501-1000,,,,Active
72,ADRIFUND,Digital Capital Raising,Reward-Based Crowdfunding,2019.0,2021,Private,Slovenia,Slovenia,10-Jan,,,,Active
73,Advanon,Digital Lending,P2P / Marketplace Business Lending,2015.0,2015,Private,Switzerland,Switzerland,30,,,,Active
74,AdvaRisk,RegTech,"Risk Analytics, Profiling & Due Diligence",2015.0,2017,Private,India,India,51-200,,,,Active
75,AdviceRobo,"Enterprise Tech Provisioning, Alternative Credit Analytics","AI / ML / NLP, Credit Scoring, Sociometric Analytics, Biometric Analytics, Psychometric Analytics",2013.0,2015,Private,Netherlands,Netherlands,Nov-50,,,,Active
76,Adyen,"Digital Payments, Enterprise Tech Provisioning, RegTech","API Hubs for Payments, Payment Gateways, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), AI / ML / NLP, Risk Analytics",2006.0,2007,Public,Netherlands,Netherlands,1001-5000,,,,Active
77,Aegis Custody,"Digital Custody, Digital Payments","Unhosted Cryptoasset Wallet, Asset-Backed Stablecoin, Portfolio management",2019.0,2018,Private,"Hong Kong SAR, China",United States,Nov-50,,,,Active
78,Aescuvest,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2013,Private,Germany,Germany,30,,,,Active
79,Afara Partners,"Alternative Credit Analytics, Digital Lending","Credit Scoring, P2P / Marketplace Consumer Lending",2017.0,2018,Private,Nigeria,Nigeria,Nov-50,,,,Active
80,Affirm,Digital Lending,Balance Sheet Consumer Lending,2012.0,2012,Private,United States,United States,750,,,,Active
81,Affordplan,"Digital Savings, Digital Payments, Digital Lending","Digital Micro Saving Solutions, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Balance Sheet Consumer Lending",2015.0,2016,Private,India,India,201-500,,,,Active
82,Afinoz,"WealthTech, Digital Lending","Financial Comparison Sites, P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2015.0,2016,Private,India,India,201-500,,,,Active
83,AFKARMENA,Digital Capital Raising,Reward-Based Crowdfunding,2014.0,2015,Private,Jordan,Jordan,6,,,,Active
84,Aflore,Digital Lending,Balance Sheet Consumer Lending,2014.0,2014,Private,Colombia,Colombia,30,,,,Active
85,Afluenta,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012.0,2012,Private,Argentina,Argentina,76,,,,Active
86,Afri Kash,Digital Lending,Balance Sheet Consumer Lending,2016.0,2018,Private,Kenya,Kenya,10-Jan,,,,Active
87,Afrigroups,Digital Capital Raising,"Donation-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2018.0,2018,Private,Kenya,Kenya,Nov-50,,,,Active
88,Afrikwity,"Digital Capital Raising, WealthTech","Equity-Based Crowdfunding, Personal Financial Management / Planning",2013.0,2015,Private,France,France,10-Jan,,,,Active
89,Afterpay,Digital Lending,"Customer Cash-Advance, Education and Training",2014.0,2015,Public,Australia,Australia,501-1000,,,,Active
90,Afya-Plan,Digital Savings,Digital Micro Saving Solutions,,2019,Private,Kenya,Kenya,10-Jan,2020.0,,,Inactive
91,Agente Cash,Digital Banks,Agent Banking (Cash-In / Cash-Out),,2014,Private,Peru,Peru,Nov-50,,,,Active
92,AgenteBtc,"Cryptoasset Exchange, Digital Payments, Digital Custody","Single Dealer Platform / OTC Trading, Retail Brokerage Services, Money Transfer (Cryptoasset), Hosted Cryptoasset Wallet",2020.0,2020,Private,Peru,Peru,10-Jan,,,,Active
93,AgentSync,RegTech,"Dynamic Compliance, Regulatory Reporting",2018.0,2020,Private,United States,United States,51-200,,,,Active
94,AgFunder,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2014,Private,United States,United States,6,,,,Active
95,AGICAP,Enterprise Tech Provisioning,"Digital Accounting, Financial Management & Business Intelligence",2016.0,2016,Private,France,France,51-200,,,,Active
96,Agora,"Digital Payments, Alternative Credit Analytics, Digital Banks","Consumer Spending, Credit Scoring, Agent Banking (Cash-In / Cash-Out)",,2013,Private,Unidentified,Unidentified,,2015.0,,,Inactive
97,Agrapp,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2018.0,2018,Private,Colombia,Colombia,6,,,,Active
98,Agricultural Bank of China,WealthTech,Digital Wealth Management,1951.0,1951,Public,China,China,10001-,,,,Active
99,Agrifi,"Digital Lending, Alternative Credit Analytics, InsurTech","P2P / Marketplace Business Lending, Balance Sheet Business Lending, Credit Scoring, Technical Service Provider (TSP)",,2020,Private,India,India,10-Jan,,,,Active
100,Agro Supply,"Digital Lending, Digital Payments, Digital Savings","Customer Cash-Advance, Mobile Money, Digital Micro Saving Solutions",,2017,Non profit,Uganda,Uganda,10-Jan,,,,Active
101,AgrPal,Digital Lending,Invoice Trading,2015.0,2015,Private,China,China,,,,,Active
102,agryo,"Alternative Credit Analytics, RegTech","Credit Scoring, Psychometric Analytics, Biometric Analytics, Risk Analytics",2018.0,2018,Private,Brazil,Brazil,9,,,,Active
103,AHP Servicing,Digital Capital Raising,"Real Estate Crowdfunding, Equity-Based Crowdfunding",2018.0,2018,Private,United States,United States,29,,,,Active
104,AI-XPRT,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, AI / ML / NLP",2015.0,2015,Private,United Kingdom,United Kingdom,50,,,,Active
105,AiDA,"RegTech, Enterprise Tech Provisioning","Risk Analytics, AI / ML / NLP",2016.0,2016,Private,Singapore,Singapore,39,,,,Active
106,Aiful,Digital Lending,Balance Sheet Consumer Lending,,2021,Private,Japan,Japan,,,,,Active
107,AIM Hatchfund,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2013.0,2013,Private,United States,United States,30,,,,Active
108,AimBrain,"Digital Identity, Enterprise Tech Provisioning","Security & Biometrics, Fraud Prevention & Risk Management, Financial Management & Business Intelligence",2014.0,2015,Private,United Kingdom,United Kingdom,Nov-50,2020.0,,,Inactive
109,Aino,Digital Payments,"eMoney Issuers, Top-ups & Refills, Payment Gateways, Digital Remittances (Cross Border-P2P)",2006.0,2013,Private,Indonesia,Indonesia,51-200,,,,Active
110,Aion Digital,Digital Banks,Banking-as-a-Service (BaaS),2019.0,2017,Private,Bahrain,Bahrain,51-200,,,,Active
111,Aiqqon,Digital Payments,"Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS)",2018.0,2019,Private,Indonesia,Indonesia,,,,,Active
112,Airbank,"Enterprise Tech Provisioning, Digital Payments, Digital Lending","Financial Management & Business Intelligence, Electronic Invoicing, Bulk Payment Solutions, Merchant Cash-Advance",2021.0,2021,Private,Germany,Germany,Nov-50,,,,Active
113,Airbase ,"Enterprise Tech Provisioning, Digital Payments","Financial Management & Business Intelligence, Digital Accounting, Money Transfer (P2P / P2B / B2P / B2B)",2016.0,2019,Private,United States,United States,51-200,,,,Active
114,Aire,"Alternative Credit Analytics, RegTech","Biometric Analytics, Risk Analytics, Regulatory Reporting, Alternative Credit Rating Agency, Credit Scoring",2014.0,2014,Private,United Kingdom,United Kingdom,52,,,,Active
115,Airpay,"Digital Payments, Digital Identity, Digital Lending, Enterprise Tech Provisioning","Payment Gateways, Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Digital Remittances (Cross Border-P2P), Bulk Payment Solutions, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), KYC Solutions, P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Financial Management & Business Intelligence, Electronic Invoicing",2012.0,2013,Private,India,India,201-500,,,,Active
116,Airpesa,Digital Payments,Top-ups & Refills,,2012,Private,Unidentified,Kenya,,2020.0,,,Inactive
117,Airtm,"Digital Payments, Cryptoasset Exchange","Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, eMoney Issuers, Retail Brokerage Services",2016.0,2015,Private,United States,Mexico,51-200,,,,Active
118,Airwallex ,"Digital Payments, Enterprise Tech Provisioning","API Hubs for Payments, Payment Gateways, Financial Management & Business Intelligence",2015.0,2016,Private,Australia,Australia,1001-5000,,,,Active
119,Ajaib,WealthTech,Digital Wealth Management,2018.0,2019,Private,Indonesia,Indonesia,51-200,,,,Active
120,AkiliPay,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Financial Management & Business Intelligence",,2017,Private,Unidentified,Tanzania,,2019.0,,,Inactive
121,Akru,"Cryptoasset Exchange, Enterprise Tech Provisioning","Single Dealer Platform / OTC Trading, Enterprise Blockchain",2019.0,2018,Private,United States,United States,12,,,,Active
122,Akseleran,Digital Lending,P2P / Marketplace Business Lending,2016.0,2016,Private,Indonesia,Indonesia,176,,,,Active
123,Aktiva Asset Management,Digital Lending,"P2P / Marketplace Business Lending, Balance Sheet Business Lending",2011.0,2017,Private,Colombia,Colombia,6,,,,Active
124,Aktiva Servicios Financieros,Digital Lending,Balance Sheet Business Lending,2011.0,2011,Private,Colombia,Colombia,Nov-50,,,,Active
125,Akulaku,"Digital Lending, Digital Payments, Digital Banks","Balance Sheet Consumer Lending, Customer Cash-Advance, Acquiring Services Providers for Merchants, Banking-as-a-Service (BaaS)",2016.0,2016,Private,Indonesia,Indonesia,1001-5000,,,,Active
126,Akun,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Digital Accounting",,2014,Private,Indonesia,Indonesia,Nov-50,,,,Active
127,Alameda Research,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, Market Making",2017.0,2017,Private,United States,Unidentified,Nov-50,,,,Active
128,ALAMI,Digital Lending,P2P / Marketplace Business Lending,2017.0,2019,Private,Indonesia,Indonesia,51-200,,,,Active
129,Alan,InsurTech,Digital Brokers or Agents,2016.0,2016,Private,France,France,201-500,,,,Active
130,Alapar,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",,2015,Private,Unidentified,Guatemala,10-Jan,,,,Active
131,Albert,"Digital Savings, WealthTech, Digital Lending, Digital Banks","Digital Micro Saving Solutions, Personal Financial Management / Planning, Customer Cash-Advance, Agent Banking (Cash-In / Cash-Out)",2015.0,2016,Private,United States,United States,51-200,,,,Active
132,Albo,"Digital Payments, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Personal Financial Management / Planning",2014.0,2017,Private,Mexico,Mexico,51-200,,,,Active
133,Alchemy,Enterprise Tech Provisioning,"API Management, Enterprise Blockchain, API Interface",2013.0,2018,Private,United States,United States,Nov-50,,,,Active
134,Alfie Asia,Alternative Credit Analytics,Alternative Credit Rating Agency,,2020,Private,Malaysia,Cambodia,10-Jan,,,,Active
135,Algo Engines,Digital Identity,Fraud Prevention & Risk Management,2012.0,2020,Private,India,India,,,,,Active
136,Algowave,Cryptoasset Exchange,Aggregation,,2018,Private,Israel,Israel,,,,,Active
137,Alixco,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2015.0,2017,Private,Malaysia,Malaysia,10-Jan,,,,Active
138,Alkami,"Digital Banks, Enterprise Tech Provisioning","Banking-as-a-Service (BaaS), Cloud Computing",2011.0,2016,Private,United States,United States,501-1000,,,,Active
139,Allcoin,Cryptoasset Exchange,Order-Book,,2014,Private,Unidentified,China,,2015.0,,,Inactive
140,Allica Bank ,Digital Banks,Fully Digitally Native Bank (MSME),2011.0,2020,Private,United Kingdom,United Kingdom,51-200,,,,Active
141,Alloy,"Enterprise Tech Provisioning, Digital Identity, RegTech","API Management, Cloud Computing, Fraud Prevention & Risk Management, KYC Solutions, Dynamic Compliance",2015.0,2015,Private,United States,United States,51-200,,,,Active
142,Allpro Technologies,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Consumer Lending, Electronic Invoicing",2017.0,2018,Private,Nigeria,Nigeria,,,,,Active
143,Allset Insurance,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2017.0,2019,Private,Canada,Canada,10-Jan,,,,Active
144,Alma,Digital Lending,Customer Cash-Advance,2018.0,2020,Private,France,France,51-200,,,,Active
145,Alpaca Japan,Enterprise Tech Provisioning,AI / ML / NLP,,2015,Private,Japan,Japan,Nov-50,,,,Active
146,Alpha Fintech,Digital Payments,"Payment Gateways, Acquiring Services Providers for Merchants",2012.0,2011,Private,Singapore,Ireland,51-200,,,,Active
147,Alpha JWC Ventures,Digital Capital Raising,"Revenue / Profit Share Crowdfunding, Lending / Borrowing",,2015,Private,Indonesia,Indonesia,Nov-50,,,,Active
148,Alpha Miner,Consensus Services,"Hardware Manufacturing, Equipment Procurement & Financing",2018.0,2017,Private,"Hong Kong SAR, China","Hong Kong SAR, China",10-Jan,,,,Active
149,Alpha Robo-advisor,WealthTech,"Robo-Advisors, Digital Wealth Management",2020.0,2020,Private,"Taiwan, China","Taiwan, China",Nov-50,,,,Active
150,Alpha Virtual,"Consensus Services, Enterprise Tech Provisioning","Staking-as-a-Service, Enterprise Blockchain",2015.0,2016,Private,United States,United States,10-Jan,,,,Active
151,AlphaFlow,Digital Capital Raising,Real Estate Crowdfunding,2015.0,2016,Private,United States,United States,6,,,,Active
152,AlphaSense,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, AI / ML / NLP, Cloud Computing",2007.0,2011,Private,United States,United States,201-500,,,,Active
153,Alpima,Enterprise Tech Provisioning,"API Management, AI / ML / NLP, Application development",2014.0,2014,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
154,Altcoin Trader,"Cryptoasset Exchange, Digital Custody, Digital Savings, Digital Lending","Order-Book, Hardware Cryptoasset Wallet, Digital Micro Saving Solutions, Balance Sheet Consumer Lending",,2015,Private,South Africa,South Africa,Nov-50,,,,Active
155,Alternativa,Digital Capital Raising,Equity-Based Crowdfunding,2006.0,2010,Private,France,France,30,,,,Active
156,Alternative Circle,Digital Lending,"Balance Sheet Consumer Lending, P2P / Marketplace Consumer Lending",2016.0,2017,Private,Kenya,Kenya,Nov-50,,,,Active
157,Alterra,"Digital Payments, Enterprise Tech Provisioning","Payment Aggregators, Payment Gateways, API Hubs for Payments, Electronic Invoicing",2015.0,2019,Private,Indonesia,Indonesia,201-500,,,,Active
158,Altius Investech,Cryptoasset Exchange,Advanced Trading Services,,2021,Private,India,India,Nov-50,,,,Active
159,Alto,"WealthTech, Cryptoasset Exchange","Personal Financial Management / Planning, Pension-Led Funding, Retail Brokerage Services",2015.0,2018,Private,United States,United States,Nov-50,,,,Active
160,Altonomy,"Cryptoasset Exchange, Consensus Services","Market Making, High-Frequency Trading (HFT) Services, Single Dealer Platform / OTC Trading, Cloud Mining",2018.0,2018,Private,Singapore,Singapore,,,,,Active
161,Altrady,"Enterprise Tech Provisioning, Cryptoasset Exchange, WealthTech","API Management, Trading Bots, Personal Financial Management / Planning",2018.0,2019,Private,Netherlands,Netherlands,10-Jan,,,,Active
162,Amaiz,"Digital Payments, Enterprise Tech Provisioning","eMoney Issuers, Electronic Invoicing",2017.0,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
163,Amalan,WealthTech,Personal Financial Management / Planning,2014.0,2016,Private,Malaysia,Indonesia,51-200,,,,Active
164,Amartha,Digital Lending,P2P / Marketplace Business Lending,2010.0,2016,Private,Indonesia,Indonesia,376,,,,Active
165,Amber Financial Services,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2015.0,2015,Private,Canada,Canada,30,,,,Active
166,Amber Group,"Cryptoasset Exchange, Digital Custody","Market Making, Retail Brokerage Services, Lending / Borrowing, Single Dealer Platform / OTC Trading, Advanced Trading Services, Hosted Cryptoasset Wallet",,2018,Private,British Virgin Islands,China,105,,,,Active
167,American Homeowner Preservation,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2013,Private,United States,United States,30,,,,Active
168,Amica,"Digital Banks, Digital Payments","Agent Banking (Cash-In / Cash-Out), Marketplace Bank (MSME), Marketplace Bank (Retail), Mobile Money",,2016,Private,Kenya,Kenya,,,,,Active
