Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
2Ext,RegTech,"Profiling & Due Diligence, Dynamic Compliance, Advising on fundraising and investment, Advising on Legal, Financial and Business",2018,2018,Private,Thailand,Thailand,10-Jan,,,,Active
2nate,Digital Capital Raising,Donation-Based Crowdfunding,2013,2014,Private,"Iran, Islamic Rep.","Iran, Islamic Rep.",6,,,,Active
37coins,Digital Custody,Hosted Cryptoasset Wallet,2015,2013,Private,United States,United States,10,2016,,,Inactive
3circlefunding,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Invoice Trading",2015,2015,Private,Switzerland,Switzerland,6,,,,Active
3commas,Cryptoasset Exchange,"Aggregation, Portfolio management, API Interface",2016,2017,Private,Estonia,Canada,18,,,,Active
4Told FinTech,Enterprise Tech Provisioning,Financial Management & Business Intelligence,,2016,Private,United States,United States,Nov-50,,,,Active
4xLabs,Digital Identity,KYC Solutions,2011,2011,Private,Singapore,Singapore,Nov-50,,,,Active
51anxintou.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2015,Private,China,China,30,,,,Active
51btc,Cryptoasset Exchange,"Aggregation, Online newspaper",2013,2013,Private,Unidentified,China,,2015,,,Inactive
5nance.com,"WealthTech, Digital Savings, Digital Payments, InsurTech","Personal Financial Management / Planning, Financial Comparison Sites, Digital Money Market / Fund  , Money Transfer (P2P / P2B / B2P / B2B), Digital Brokers or Agents",2010,2015,Private,India,India,51-200,,,,Active
7aweshly,Digital Savings,Digital Micro Saving Solutions,2017,2018,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",10-Jan,,,,Active
8percent,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",,2014,Private,"Korea, Rep.","Korea, Rep.",Nov-50,,,,Active
91wangcai,Digital Lending,P2P / Marketplace Consumer Lending,,2021,Private,China,China,,,,,Active
99Bitcoins,Digital Payments,"Money Transfer (Cryptoasset), Marketing services",2013,2013,Private,Singapore,Israel,,,,,Active
A-Trader ,Digital Capital Raising,Capital Raising Retail Brokerage,,2018,Private,Tanzania,Tanzania,10-Jan,,,,Active
A.IX Capital,WealthTech,"Robo-Advisors, Financial Comparison Sites, Digital Wealth Management",2015,2015,Private,Germany,Germany,1,,,,Active
a55,Digital Lending,"Debt-Based Securities, Balance Sheet Business Lending",2017,2017,Private,Brazil,Brazil,30,,,,Active
AAAccell,"RegTech, WealthTech, Enterprise Tech Provisioning","Risk Analytics, Digital Wealth Management, Financial Management & Business Intelligence, AI / ML / NLP",2012,2015,Private,Switzerland,Switzerland,4,,,,Active
"Abacus Wealth Management, Kenya","Enterprise Tech Provisioning, WealthTech","Financial Management & Business Intelligence, Digital Wealth Management, Personal Financial Management / Planning, Education and Training",2014,2013,Private,Kenya,Kenya,10-Jan,,,,Active
Abalobi,"Digital Payments, Enterprise Tech Provisioning","Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Digital Accounting, Financial Management & Business Intelligence",2017,2017,Non profit,South Africa,South Africa,8,,,,Active
ABB Insurance Broker ,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2018,2016,Private,Indonesia,Indonesia,Nov-50,,,,Active
Abhi,Digital Lending,Customer Cash-Advance,,2021,Private,Pakistan,Pakistan,Nov-50,,,,Active
Abra,"Digital Payments, Cryptoasset Exchange","Money Transfer (Cryptoasset), Retail Brokerage Services",2014,2015,Private,United States,United States,Nov-50,,,,Active
Abundance,Digital Lending,Debt-Based Securities,2009,2011,Private,United Kingdom,Israel,30,,,,Active
Abundance Investment,Digital Capital Raising,"Equity-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2009,2009,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Acacia Trading,Cryptoasset Exchange,Aggregation,2014,2014,Private,United States,United States,10,2017,,,Inactive
Accion,Digital Lending,Balance Sheet Business Lending,1961,1991,Private,United States,United States,176,,,,Active
Accointing,WealthTech,"Personal Financial Management / Planning, Taxation, Portfolio management",2018,2018,Private,Switzerland,Switzerland,,,,,Active
ACKO ,InsurTech,"Usage-Based Insurance, Claims & Risk Management Solutions",2016,2018,Public,India,India,201-500,,,,Active
Acom,Digital Lending,Balance Sheet Consumer Lending,,2021,,Unidentified,Japan,,,,,Active
Acordo Certo,Digital Lending,Invoice Trading,2014,2014,Private,Brazil,Brazil,30,,,,Active
Acorns,"WealthTech, Digital Savings","Digital Wealth Management, Robo Retirement / Pension Planning, Personal Financial Management / Planning, Digital Micro Saving Solutions, Education and Training, Investment advisory",2012,2013,Private,United States,United States,201-500,,,,Active
Acqra,Digital Payments,"Acquiring Services Providers for Merchants, Payment Gateways",2013,2013,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
Acquire Real Estate,Digital Capital Raising,Real Estate Crowdfunding,2014,2015,Private,United States,United States,6,,,,Active
Acrecent Financial,Digital Lending,Balance Sheet Business Lending,2003,2017,Private,Puerto Rico,Puerto Rico,30,,,,Active
Acreditar Banco,Digital Lending,Balance Sheet Business Lending,,2021,,Brazil,Brazil,Nov-50,,,,Active
Acudeen Technologies,Digital Lending,Invoice Trading,2016,2016,Private,Philippines,Philippines,76,,,,Active
ADAPTA.EARTH,Digital Lending,"Balance Sheet Business Lending, Debt-Based Securities",2021,2021,Private,Unidentified,Kenya,10-Jan,,,,Active
Addepar,"WealthTech, RegTech, Enterprise Tech Provisioning","Digital Wealth Management, Regulatory Reporting, Risk Analytics, Market Monitoring, Financial Management & Business Intelligence, Electronic Invoicing, Cloud Computing, API Management",2009,2010,Private,United States,United States,201-500,,,,Active
Addi ,"Digital Lending, Digital Payments","Customer Cash-Advance, Acquiring Services Providers for Merchants",2018,2018,Private,Colombia,Colombia,201-500,,,,Active
additiv,"Enterprise Tech Provisioning, WealthTech, RegTech, Digital Banks","Financial Management & Business Intelligence, API Management, Robo-Advisors, Digital Wealth Management, Risk Analytics, Banking-as-a-Service (BaaS)",1998,2016,Private,Switzerland,Switzerland,201-500,,,,Active
ADDX,WealthTech,"Personal Financial Management / Planning, Digital Wealth Management",2017,2017,Private,Singapore,Singapore,51-200,,,,Active
Adelantos.com ,Digital Lending,Balance Sheet Consumer Lending,2016,2018,Private,Panama,Argentina,10-Jan,,,,Active
Adianta,Digital Lending,Invoice Trading,2016,2017,Private,Brazil,Brazil,30,,,,Active
Adobe Commerce,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence",,2008,Private,United States,United States,501-1000,,,,Active
ADRIFUND,Digital Capital Raising,Reward-Based Crowdfunding,2019,2021,Private,Slovenia,Slovenia,10-Jan,,,,Active
Advanon,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,Switzerland,Switzerland,30,,,,Active
AdvaRisk,RegTech,"Risk Analytics, Profiling & Due Diligence",2015,2017,Private,India,India,51-200,,,,Active
AdviceRobo,"Enterprise Tech Provisioning, Alternative Credit Analytics","AI / ML / NLP, Credit Scoring, Sociometric Analytics, Biometric Analytics, Psychometric Analytics",2013,2015,Private,Netherlands,Netherlands,Nov-50,,,,Active
Adyen,"Digital Payments, Enterprise Tech Provisioning, RegTech","API Hubs for Payments, Payment Gateways, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), AI / ML / NLP, Risk Analytics",2006,2007,Public,Netherlands,Netherlands,1001-5000,,,,Active
Aegis Custody,"Digital Custody, Digital Payments","Unhosted Cryptoasset Wallet, Asset-Backed Stablecoin, Portfolio management",2019,2018,Private,"Hong Kong SAR, China",United States,Nov-50,,,,Active
Aescuvest,Digital Capital Raising,Equity-Based Crowdfunding,2014,2013,Private,Germany,Germany,30,,,,Active
Afara Partners,"Alternative Credit Analytics, Digital Lending","Credit Scoring, P2P / Marketplace Consumer Lending",2017,2018,Private,Nigeria,Nigeria,Nov-50,,,,Active
Affirm,Digital Lending,Balance Sheet Consumer Lending,2012,2012,Private,United States,United States,750,,,,Active
Affordplan,"Digital Savings, Digital Payments, Digital Lending","Digital Micro Saving Solutions, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Balance Sheet Consumer Lending",2015,2016,Private,India,India,201-500,,,,Active
Afinoz,"WealthTech, Digital Lending","Financial Comparison Sites, P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2015,2016,Private,India,India,201-500,,,,Active
AFKARMENA,Digital Capital Raising,Reward-Based Crowdfunding,2014,2015,Private,Jordan,Jordan,6,,,,Active
Aflore,Digital Lending,Balance Sheet Consumer Lending,2014,2014,Private,Colombia,Colombia,30,,,,Active
Afluenta,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012,2012,Private,Argentina,Argentina,76,,,,Active
Afri Kash,Digital Lending,Balance Sheet Consumer Lending,2016,2018,Private,Kenya,Kenya,10-Jan,,,,Active
Afrigroups,Digital Capital Raising,"Donation-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2018,2018,Private,Kenya,Kenya,Nov-50,,,,Active
Afrikwity,"Digital Capital Raising, WealthTech","Equity-Based Crowdfunding, Personal Financial Management / Planning",2013,2015,Private,France,France,10-Jan,,,,Active
Afterpay,Digital Lending,"Customer Cash-Advance, Education and Training",2014,2015,Public,Australia,Australia,501-1000,,,,Active
Afya-Plan,Digital Savings,Digital Micro Saving Solutions,,2019,Private,Kenya,Kenya,10-Jan,2020,,,Inactive
Agente Cash,Digital Banks,Agent Banking (Cash-In / Cash-Out),,2014,Private,Peru,Peru,Nov-50,,,,Active
AgenteBtc,"Cryptoasset Exchange, Digital Payments, Digital Custody","Single Dealer Platform / OTC Trading, Retail Brokerage Services, Money Transfer (Cryptoasset), Hosted Cryptoasset Wallet",2020,2020,Private,Peru,Peru,10-Jan,,,,Active
AgentSync,RegTech,"Dynamic Compliance, Regulatory Reporting",2018,2020,Private,United States,United States,51-200,,,,Active
AgFunder,Digital Capital Raising,Equity-Based Crowdfunding,2013,2014,Private,United States,United States,6,,,,Active
AGICAP,Enterprise Tech Provisioning,"Digital Accounting, Financial Management & Business Intelligence",2016,2016,Private,France,France,51-200,,,,Active
Agora,"Digital Payments, Alternative Credit Analytics, Digital Banks","Consumer Spending, Credit Scoring, Agent Banking (Cash-In / Cash-Out)",,2013,Private,Unidentified,Unidentified,,2015,,,Inactive
Agrapp,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2018,2018,Private,Colombia,Colombia,6,,,,Active
Agricultural Bank of China,WealthTech,Digital Wealth Management,1951,1951,Public,China,China,10001-,,,,Active
Agrifi,"Digital Lending, Alternative Credit Analytics, InsurTech","P2P / Marketplace Business Lending, Balance Sheet Business Lending, Credit Scoring, Technical Service Provider (TSP)",,2020,Private,India,India,10-Jan,,,,Active
Agro Supply,"Digital Lending, Digital Payments, Digital Savings","Customer Cash-Advance, Mobile Money, Digital Micro Saving Solutions",,2017,Non profit,Uganda,Uganda,10-Jan,,,,Active
AgrPal,Digital Lending,Invoice Trading,2015,2015,Private,China,China,,,,,Active
agryo,"Alternative Credit Analytics, RegTech","Credit Scoring, Psychometric Analytics, Biometric Analytics, Risk Analytics",2018,2018,Private,Brazil,Brazil,9,,,,Active
AHP Servicing,Digital Capital Raising,"Real Estate Crowdfunding, Equity-Based Crowdfunding",2018,2018,Private,United States,United States,29,,,,Active
AI-XPRT,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, AI / ML / NLP",2015,2015,Private,United Kingdom,United Kingdom,50,,,,Active
AiDA,"RegTech, Enterprise Tech Provisioning","Risk Analytics, AI / ML / NLP",2016,2016,Private,Singapore,Singapore,39,,,,Active
Aiful,Digital Lending,Balance Sheet Consumer Lending,,2021,Private,Japan,Japan,,,,,Active
AIM Hatchfund,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2013,2013,Private,United States,United States,30,,,,Active
AimBrain,"Digital Identity, Enterprise Tech Provisioning","Security & Biometrics, Fraud Prevention & Risk Management, Financial Management & Business Intelligence",2014,2015,Private,United Kingdom,United Kingdom,Nov-50,2020,,,Inactive
Aino,Digital Payments,"eMoney Issuers, Top-ups & Refills, Payment Gateways, Digital Remittances (Cross Border-P2P)",2006,2013,Private,Indonesia,Indonesia,51-200,,,,Active
Aion Digital,Digital Banks,Banking-as-a-Service (BaaS),2019,2017,Private,Bahrain,Bahrain,51-200,,,,Active
Aiqqon,Digital Payments,"Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS)",2018,2019,Private,Indonesia,Indonesia,,,,,Active
Airbank,"Enterprise Tech Provisioning, Digital Payments, Digital Lending","Financial Management & Business Intelligence, Electronic Invoicing, Bulk Payment Solutions, Merchant Cash-Advance",2021,2021,Private,Germany,Germany,Nov-50,,,,Active
Airbase ,"Enterprise Tech Provisioning, Digital Payments","Financial Management & Business Intelligence, Digital Accounting, Money Transfer (P2P / P2B / B2P / B2B)",2016,2019,Private,United States,United States,51-200,,,,Active
Aire,"Alternative Credit Analytics, RegTech","Biometric Analytics, Risk Analytics, Regulatory Reporting, Alternative Credit Rating Agency, Credit Scoring",2014,2014,Private,United Kingdom,United Kingdom,52,,,,Active
Airpay,"Digital Payments, Digital Identity, Digital Lending, Enterprise Tech Provisioning","Payment Gateways, Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Digital Remittances (Cross Border-P2P), Bulk Payment Solutions, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), KYC Solutions, P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Financial Management & Business Intelligence, Electronic Invoicing",2012,2013,Private,India,India,201-500,,,,Active
Airpesa,Digital Payments,Top-ups & Refills,,2012,Private,Unidentified,Kenya,,2020,,,Inactive
Airtm,"Digital Payments, Cryptoasset Exchange","Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, eMoney Issuers, Retail Brokerage Services",2016,2015,Private,United States,Mexico,51-200,,,,Active
Airwallex ,"Digital Payments, Enterprise Tech Provisioning","API Hubs for Payments, Payment Gateways, Financial Management & Business Intelligence",2015,2016,Private,Australia,Australia,1001-5000,,,,Active
Ajaib,WealthTech,Digital Wealth Management,2018,2019,Private,Indonesia,Indonesia,51-200,,,,Active
AkiliPay,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Financial Management & Business Intelligence",,2017,Private,Unidentified,Tanzania,,2019,,,Inactive
Akru,"Cryptoasset Exchange, Enterprise Tech Provisioning","Single Dealer Platform / OTC Trading, Enterprise Blockchain",2019,2018,Private,United States,United States,12,,,,Active
Akseleran,Digital Lending,P2P / Marketplace Business Lending,2016,2016,Private,Indonesia,Indonesia,176,,,,Active
Aktiva Asset Management,Digital Lending,"P2P / Marketplace Business Lending, Balance Sheet Business Lending",2011,2017,Private,Colombia,Colombia,6,,,,Active
Aktiva Servicios Financieros,Digital Lending,Balance Sheet Business Lending,2011,2011,Private,Colombia,Colombia,Nov-50,,,,Active
Akulaku,"Digital Lending, Digital Payments, Digital Banks","Balance Sheet Consumer Lending, Customer Cash-Advance, Acquiring Services Providers for Merchants, Banking-as-a-Service (BaaS)",2016,2016,Private,Indonesia,Indonesia,1001-5000,,,,Active
Akun,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Digital Accounting",,2014,Private,Indonesia,Indonesia,Nov-50,,,,Active
Alameda Research,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, Market Making",2017,2017,Private,United States,Unidentified,Nov-50,,,,Active
ALAMI,Digital Lending,P2P / Marketplace Business Lending,2017,2019,Private,Indonesia,Indonesia,51-200,,,,Active
Alan,InsurTech,Digital Brokers or Agents,2016,2016,Private,France,France,201-500,,,,Active
Alapar,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",,2015,Private,Unidentified,Guatemala,10-Jan,,,,Active
Albert,"Digital Savings, WealthTech, Digital Lending, Digital Banks","Digital Micro Saving Solutions, Personal Financial Management / Planning, Customer Cash-Advance, Agent Banking (Cash-In / Cash-Out)",2015,2016,Private,United States,United States,51-200,,,,Active
Albo,"Digital Payments, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Personal Financial Management / Planning",2014,2017,Private,Mexico,Mexico,51-200,,,,Active
Alchemy,Enterprise Tech Provisioning,"API Management, Enterprise Blockchain, API Interface",2013,2018,Private,United States,United States,Nov-50,,,,Active
Alfie Asia,Alternative Credit Analytics,Alternative Credit Rating Agency,,2020,Private,Malaysia,Cambodia,10-Jan,,,,Active
Algo Engines,Digital Identity,Fraud Prevention & Risk Management,2012,2020,Private,India,India,,,,,Active
Algowave,Cryptoasset Exchange,Aggregation,,2018,Private,Israel,Israel,,,,,Active
Alixco,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2015,2017,Private,Malaysia,Malaysia,10-Jan,,,,Active
Alkami,"Digital Banks, Enterprise Tech Provisioning","Banking-as-a-Service (BaaS), Cloud Computing",2011,2016,Private,United States,United States,501-1000,,,,Active
Allcoin,Cryptoasset Exchange,Order-Book,,2014,Private,Unidentified,China,,2015,,,Inactive
Allica Bank ,Digital Banks,Fully Digitally Native Bank (MSME),2011,2020,Private,United Kingdom,United Kingdom,51-200,,,,Active
Alloy,"Enterprise Tech Provisioning, Digital Identity, RegTech","API Management, Cloud Computing, Fraud Prevention & Risk Management, KYC Solutions, Dynamic Compliance",2015,2015,Private,United States,United States,51-200,,,,Active
Allpro Technologies,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Consumer Lending, Electronic Invoicing",2017,2018,Private,Nigeria,Nigeria,,,,,Active
Allset Insurance,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2017,2019,Private,Canada,Canada,10-Jan,,,,Active
Alma,Digital Lending,Customer Cash-Advance,2018,2020,Private,France,France,51-200,,,,Active
Alpaca Japan,Enterprise Tech Provisioning,AI / ML / NLP,,2015,Private,Japan,Japan,Nov-50,,,,Active
Alpha Fintech,Digital Payments,"Payment Gateways, Acquiring Services Providers for Merchants",2012,2011,Private,Singapore,Ireland,51-200,,,,Active
Alpha JWC Ventures,Digital Capital Raising,"Revenue / Profit Share Crowdfunding, Lending / Borrowing",,2015,Private,Indonesia,Indonesia,Nov-50,,,,Active
Alpha Miner,Consensus Services,"Hardware Manufacturing, Equipment Procurement & Financing",2018,2017,Private,"Hong Kong SAR, China","Hong Kong SAR, China",10-Jan,,,,Active
Alpha Robo-advisor,WealthTech,"Robo-Advisors, Digital Wealth Management",2020,2020,Private,"Taiwan, China","Taiwan, China",Nov-50,,,,Active
Alpha Virtual,"Consensus Services, Enterprise Tech Provisioning","Staking-as-a-Service, Enterprise Blockchain",2015,2016,Private,United States,United States,10-Jan,,,,Active
AlphaFlow,Digital Capital Raising,Real Estate Crowdfunding,2015,2016,Private,United States,United States,6,,,,Active
AlphaSense,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, AI / ML / NLP, Cloud Computing",2007,2011,Private,United States,United States,201-500,,,,Active
Alpima,Enterprise Tech Provisioning,"API Management, AI / ML / NLP, Application development",2014,2014,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Altcoin Trader,"Cryptoasset Exchange, Digital Custody, Digital Savings, Digital Lending","Order-Book, Hardware Cryptoasset Wallet, Digital Micro Saving Solutions, Balance Sheet Consumer Lending",,2015,Private,South Africa,South Africa,Nov-50,,,,Active
Alternativa,Digital Capital Raising,Equity-Based Crowdfunding,2006,2010,Private,France,France,30,,,,Active
Alternative Circle,Digital Lending,"Balance Sheet Consumer Lending, P2P / Marketplace Consumer Lending",2016,2017,Private,Kenya,Kenya,Nov-50,,,,Active
Alterra,"Digital Payments, Enterprise Tech Provisioning","Payment Aggregators, Payment Gateways, API Hubs for Payments, Electronic Invoicing",2015,2019,Private,Indonesia,Indonesia,201-500,,,,Active
Altius Investech,Cryptoasset Exchange,Advanced Trading Services,,2021,Private,India,India,Nov-50,,,,Active
Alto,"WealthTech, Cryptoasset Exchange","Personal Financial Management / Planning, Pension-Led Funding, Retail Brokerage Services",2015,2018,Private,United States,United States,Nov-50,,,,Active
Altonomy,"Cryptoasset Exchange, Consensus Services","Market Making, High-Frequency Trading (HFT) Services, Single Dealer Platform / OTC Trading, Cloud Mining",2018,2018,Private,Singapore,Singapore,,,,,Active
Altrady,"Enterprise Tech Provisioning, Cryptoasset Exchange, WealthTech","API Management, Trading Bots, Personal Financial Management / Planning",2018,2019,Private,Netherlands,Netherlands,10-Jan,,,,Active
Amaiz,"Digital Payments, Enterprise Tech Provisioning","eMoney Issuers, Electronic Invoicing",2017,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Amalan,WealthTech,Personal Financial Management / Planning,2014,2016,Private,Malaysia,Indonesia,51-200,,,,Active
Amartha,Digital Lending,P2P / Marketplace Business Lending,2010,2016,Private,Indonesia,Indonesia,376,,,,Active
Amber Financial Services,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2015,2015,Private,Canada,Canada,30,,,,Active
Amber Group,"Cryptoasset Exchange, Digital Custody","Market Making, Retail Brokerage Services, Lending / Borrowing, Single Dealer Platform / OTC Trading, Advanced Trading Services, Hosted Cryptoasset Wallet",,2018,Private,British Virgin Islands,China,105,,,,Active
American Homeowner Preservation,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,United States,United States,30,,,,Active
Amica,"Digital Banks, Digital Payments","Agent Banking (Cash-In / Cash-Out), Marketplace Bank (MSME), Marketplace Bank (Retail), Mobile Money",,2016,Private,Kenya,Kenya,,,,,Active
Ammana,Digital Lending,"P2P / Marketplace Consumer Lending, Customer Cash-Advance",,2018,Private,Indonesia,Indonesia,,,,,Active
Amount,"Enterprise Tech Provisioning, Digital Identity","Cloud Computing, Financial Management & Business Intelligence, Fraud Prevention & Risk Management",2018,2019,Private,United States,United States,201-500,,,,Active
Ampleforth,Digital Payments,Algorithmic Stablecoin,,2018,Other,Unidentified,United States,,,,,Active
Amplify,Digital Payments,API Hubs for Payments,2016,2016,Private,Nigeria,Nigeria,Nov-50,,,,Active
Anapi,InsurTech,Technical Service Provider (TSP),2018,2018,Private,Singapore,Singapore,10-Jan,,,,Active
AnaStrat,WealthTech,Personal Financial Management / Planning,2021,2021,Private,India,India,10-Jan,,,,Active
Anaxago,Digital Capital Raising,"Equity-Based Crowdfunding, Real Estate Crowdfunding",2012,2012,Private,France,France,30,,,,Active
Anaxee,"Digital Identity, Enterprise Tech Provisioning","KYC Solutions, API Management, Data aggregation",2016,2017,Private,India,India,51-200,,,,Active
Anchorage Digital,"Cryptoasset Exchange, Digital Custody","Institutional Brokerage Services, Third-Party Custody, Market data",2017,2019,Private,United States,United States,51-200,,,,Active
Andromeda Exchange,Cryptoasset Exchange,P2P Cryptoasset Marketplaces,2018,2018,Private,Philippines,Philippines,,2019,,,Inactive
