Status,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status
Active,Zonky.com,Digital Lending,"P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending",2013,2014,Private,Czech Republic,Czech Republic,30,,,
Active,Zogo,WealthTech,Personal Financial Management / Planning,2018,2018,Private,United States,United States,11-50,,,
Active,Zissmo,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,Chile,Chile,6,,,
Active,Zipwallet,"Digital Payments, Cryptoasset Exchange, Digital Custody","Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Payment Gateways, Money Transfer (Cryptoasset), P2P Cryptoasset Marketplaces, Hosted Cryptoasset Wallet",2018,2019,Private,Kenya,Kenya,1-10,,,
Active,Zippi,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2018,2018,Private,Brazil,Brazil,18,,,
Active,ZipLoan,Digital Lending,Balance Sheet Business Lending,2015,2015,Private,India,India,51-200,,,
Active,Zipgrid,"RegTech, WealthTech, Enterprise Tech Provisioning, Digital Payments","Dynamic Compliance, Personal Financial Management / Planning, Digital Accounting, Top-ups & Refills, Taxation",2014,2016,Private,India,India,51-200,,,
Active,Zip Co,Digital Lending,"Customer Cash-Advance, Merchant Cash-Advance",2009,2013,Private,Australia,Australia,1001-5000,,,
Active,Zinsland,Digital Capital Raising,Real Estate Crowdfunding,2014,2011,Private,Germany,Germany,30,,,
Active,Zinsbaustein,Digital Capital Raising,Real Estate Crowdfunding,2016,2016,Private,Germany,Germany,30,,,
Active,Zinobe,Digital Lending,Balance Sheet Consumer Lending,2011,2012,Private,Colombia,Colombia,176,,,
Active,Zimpler,Digital Payments,Payment Gateways,,2015,Private,Sweden,Sweden,51-200,,,
Active,ZimpleMoney,Digital Lending,P2P / Marketplace Consumer Lending,2008,2009,Private,United States,United States,30,,,
Active,Zilch,"Digital Lending, Digital Payments","Customer Cash-Advance, Money Transfer (P2P / P2B / B2P / B2B), eMoney Issuers",2018,2020,Private,United Kingdom,United Kingdom,51-200,,,
Active,Ziina,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2020,2020,Private,United Arab Emirates,United Arab Emirates,1-10,,,
Active,Zhuge licai,Digital Lending,P2P / Marketplace Consumer Lending,2014,2014,Private,China,China,176,,,
Active,ZhongAn,InsurTech,"Usage-Based Insurance, Digital Brokers or Agents",2013,2014,Public,China,China,1001-5000,,,
Active,Zhiwei Cloud,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2015,Private,China,China,30,,,
Active,Zettle by PayPal,"Digital Payments, Enterprise Tech Provisioning, Digital Lending","Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Financial Management & Business Intelligence, Electronic Invoicing, Balance Sheet Business Lending",2017,2011,Private,Sweden,Sweden,501-1000,,,
Active,Zeta Suite,"Enterprise Tech Provisioning, Digital Banks, RegTech, Digital Identity","Cloud Computing, API Management, Banking-as-a-Service (BaaS), Dynamic Compliance, Fraud Prevention & Risk Management, Security & Biometrics",2015,2015,Private,India,United States,1001-5000,,,
Active,ZestMoney,Digital Lending,P2P / Marketplace Consumer Lending,2016,2015,Private,India,India,501-1000,,,
Active,Zest Capital,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning, Education and Training",2016,2016,Private,Peru,Peru,11-50,,,
Active,Zest AI,Digital Lending,"Balance Sheet Property Lending, P2P / Marketplace Property Lending, Balance Sheet Consumer Lending, Balance Sheet Business Lending, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2009,2009,Private,United States,United States,176,,,
Active,ZERODHA,Digital Capital Raising,"Capital Raising Retail Brokerage, Education and Training",2018,2010,Private,India,India,501-1000,,,
Inactive,ZeroBlock,Cryptoasset Exchange,"Market data, Data aggregation, Order-Book",2013,2013,Private,United States,United States,,2013,,
Active,Zenoti,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Points of Access (PoS / mPoS / Online PoS)",2014,2012,Private,United States,United States,501-1000,,,
Active,Zenka,Digital Lending,Balance Sheet Consumer Lending,2018,2018,Private,Kenya,Kenya,51-200,,,
Active,Zendz,"Digital Payments, Digital Identity","Top-ups & Refills, Digital Remittances (Cross Border-P2P), Mobile Money, KYC Solutions",,2020,Private,Indonesia,Indonesia,1-10,,,
Active,Zencap,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,Germany,Germany,76,,,
Active,Zelf,"Digital Payments, Digital Banks","eMoney Issuers, Fully Digitally Native Bank (Retail)",2019,2020,Private,Latvia,United States,11-50,,,
Active,Zego,InsurTech,"On-Demand Insurance, Usage-Based Insurance, IoT (including Telematics)",2016,2016,Private,United Kingdom,United Kingdom,201-500,,,
Active,Zegetech ,"Enterprise Tech Provisioning, Digital Payments","Financial Management & Business Intelligence, API Management, API Hubs for Payments",,2010,Private,Kenya,Kenya,1-10,,,
Active,Zebpay,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Single Dealer Platform / OTC Trading, Hosted Cryptoasset Wallet, API Interface",2014,2014,Private,Singapore,Singapore,,,,
Active,ZB.com,"Cryptoasset Exchange, Consensus Services","Interest-bearing account, Order-Book, Staking-as-a-Service, Lending / Borrowing, Retail Brokerage Services, Single Dealer Platform / OTC Trading, Advanced Trading Services, Margin lending",2012,2013,Private,Samoa,Switzerland,350,,,
Active,Zank,Digital Lending,P2P / Marketplace Consumer Lending,2013,2013,Private,Spain,Spain,30,,,
Active,Zanifu,Digital Lending,Balance Sheet Business Lending,,2016,Private,Kenya,Kenya,11-50,,,
Active,ZaloPay ,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Acquiring Services Providers for Merchants, Digital Remittances (Domestic-P2P)",2005,2017,Private,Vietnam,Vietnam,201-500,,,
Active,Zaisan.net,WealthTech,Digital Wealth Management,,2015,Private,Japan,Japan,11-50,,,
Active,Zaif Exchange,"Cryptoasset Exchange, Enterprise Tech Provisioning, Digital Capital Raising","Order-Book, Retail Brokerage Services, API Management, Token Hosting Platform",2016,2018,Private,Japan,Japan,,,,
Inactive,Zai  ,"Digital Payments, Enterprise Tech Provisioning, Digital Identity","API Hubs for Payments, Digital Remittances (Cross Border-P2P), Money Transfer (P2P / P2B / B2P / B2B), Financial Management & Business Intelligence, Fraud Prevention & Risk Management",2013,2014,Private,Australia,Australia,51-200,2021,,
Active,Z2P,Digital Lending,P2P / Marketplace Consumer Lending,2017,2017,Private,India,India,30,,,
Active,yxp2p.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013,2014,Private,China,China,30,,,
Active,Yuntas,Digital Savings,"Digital Savings Collective / Pool, Digital Micro Saving Solutions",2019,2017,Private,Peru,Peru,1-10,,,
Inactive,Yunbi,Cryptoasset Exchange,Order-Book,2014,2014,Private,China,China,,2017,,
Active,Yulife,"InsurTech, Digital Savings","P2P Insurance, Digital Brokers or Agents, Savings-as-a-Service (SaaS)",2016,2018,Private,United Kingdom,United Kingdom,51-200,,,
Active,Yuandudu Technology,"InsurTech, Enterprise Tech Provisioning, Digital Identity","Claims & Risk Management Solutions, AI / ML / NLP, Fraud Prevention & Risk Management, Data aggregation",2017,2017,Private,China,China,1-10,,,
Active,Yuanbaopu,Digital Lending,"P2P / Marketplace Consumer Lending, Invoice Trading, Balance Sheet Business Lending",2014,2014,Private,China,China,,,,
Active,yqjinfu.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2015,Private,China,China,30,,,
Active,YPay,WealthTech,Personal Financial Management / Planning,2021,2021,Private,Pakistan,Pakistan,1-10,,,
Active,Yoyo Wallet,"Digital Payments, Enterprise Tech Provisioning","Acquiring Services Providers for Merchants, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Financial Management & Business Intelligence",2013,2014,Private,United Kingdom,United Kingdom,51-200,,,
Active,YouTrip,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2016,2018,Private,Singapore,Singapore,51-200,,,
Active,Younited Credit,Digital Lending,P2P / Marketplace Consumer Lending,2009,2014,Private,France,France,176,,,
Active,Youmutou,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2015,Private,China,China,30,,,
Active,Youjiangliao,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2017,2017,Private,China,China,,,,
Active,YouBeep,Digital Payments,Points of Access (PoS / mPoS / Online PoS),2014,2014,Private,Portugal,Portugal,11-50,,,
Active,yotepresto,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2015,Private,Mexico,Mexico,6,,,
Active,YONK,Enterprise Tech Provisioning,Enterprise Blockchain,,2016,Private,Indonesia,Indonesia,1-10,,,
Active,Yomkencom,Digital Capital Raising,Reward-Based Crowdfunding,2012,2012,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",6,,,
Active,Yoco,"Digital Payments, Digital Lending","Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Merchant Cash-Advance",2013,2015,Private,South Africa,South Africa,201-500,,,
Active,Yobota,Digital Banks,Banking-as-a-Service (BaaS),2016,2016,Private,United Kingdom,United Kingdom,51-200,,,
Active,Yobit,Cryptoasset Exchange,Order-Book,,2014,Private,Unidentified,Russian Federation,,,,
Active,Yo!,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Payment Aggregators, Payment Gateways, API Hubs for Payments, Bulk Payment Solutions, Points of Access (PoS / mPoS / Online PoS), Financial Management & Business Intelligence",2006,2006,Private,Uganda,Uganda,11-50,,,
Active,Yirendai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013,2014,Public,China,China,750,,,
Active,Yiqihao,Digital Lending,P2P / Marketplace Consumer Lending,2012,2012,Private,China,China,750,,,
Active,yingzhongtou.com,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,China,China,30,,,
Active,Yinduowang.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013,2014,Private,China,China,,,,
Active,YIMBY,Digital Capital Raising,Donation-Based Crowdfunding,2014,2014,Private,United Kingdom,United States,6,,,
Active,Yikongwang,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,30,,,
Active,YIJIEDAI,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,China,China,176,,,
Active,Yieldstreet,"Digital Lending, WealthTech","P2P / Marketplace Property Lending, Personal Financial Management / Planning, Digital Wealth Management, Education and Training",2014,2015,Private,United States,United States,51-200,,,
Inactive,Yieldport,WealthTech,Financial Comparison Sites,2016,2017,Private,Netherlands,Netherlands,1-10,2019,,
Active,Yielders,Digital Capital Raising,Real Estate Crowdfunding,2015,2016,Private,United Kingdom,United Kingdom,11-50,,,
Active,YesGrowth,Digital Lending,Balance Sheet Business Lending,2013,2014,Private,United Kingdom,United Kingdom,30,,,
Active,YellowPepper,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2004,2004,Private,United States,United States,51-200,,,
Active,Yellowcard,"Cryptoasset Exchange, Digital Payments","Retail Brokerage Services, Single Dealer Platform / OTC Trading, Consumer Spending",2019,2016,Private,United States,Nigeria,,,,
Active,YeepBank.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2006,2006,Private,China,China,376,,,
Active,Yapstone,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways, API Hubs for Payments, Acquiring Services Providers for Merchants",1999,2000,Private,United States,United States,201-500,,,
Active,Yapily,Enterprise Tech Provisioning,"API Management, Financial Management & Business Intelligence",2017,2018,Private,United Kingdom,United Kingdom,51-200,,,
Active,Yangqianguan,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,China,China,376,,,
Inactive,Yallet,Digital Custody,Unhosted Cryptoasset Wallet,2015,2014,Private,Luxembourg,Luxembourg,,2017,,
Active,Yallacompare,WealthTech,Financial Comparison Sites,2011,2011,Private,United Arab Emirates,United Arab Emirates,51-200,,,
Active,Yalber,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2007,2007,Private,United States,United States,30,,,
Inactive,Yacuna,Cryptoasset Exchange,Order-Book,2014,2014,Private,United Kingdom,Switzerland,,2015,,
Active,Yacobro,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2019,2019,Private,Paraguay,Paraguay,6,,,
Active,Y Finance Inc.,Digital Lending,P2P / Marketplace Consumer Lending,2017,2017,Private,Philippines,Philippines,30,,,
Inactive,XtraderFX,Cryptoasset Exchange,Order-Book,2017,2018,Private,United Kingdom,United Kingdom,,2020,,
Active,Xpay,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Financial Management & Business Intelligence, Electronic Invoicing",2018,2018,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",11-50,,,
Active,Xord,Enterprise Tech Provisioning,"Enterprise Blockchain, Application development",2020,2020,Private,Pakistan,Pakistan,51-200,,,
Active,Xoom,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B)",2012,2013,Private,United States,United States,201-500,,,
Active,Xive,Consensus Services,"Hashrate Brokerage, Cloud Mining, Remote Hosting Services",2018,2018,Private,Kazakhstan,Kazakhstan,11-50,,,
Active,Xinxindai,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,China,China,,,,
Active,xinhedai.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012,2012,Private,China,China,,,,
Active,Xignite,Enterprise Tech Provisioning,"API Management, Cloud Computing",2011,2006,Private,United States,United States,11-50,,,
Active,Xforceplus,Enterprise Tech Provisioning,"Electronic Invoicing, Cloud Computing",2015,2016,Private,China,China,201-500,,,
Active,Xfers ,"Digital Payments, Enterprise Tech Provisioning, Digital Identity, RegTech, Digital Lending, Digital Banks","API Hubs for Payments, Payment Gateways, Asset-Backed Stablecoin, eMoney Issuers, Digital Accounting, Financial Management & Business Intelligence, Electronic Invoicing, KYC Solutions, Risk Analytics, P2P / Marketplace Business Lending, Agent Banking (Cash-In / Cash-Out)",2014,2015,Private,Singapore,Singapore,51-200,,,
Active,Xerpay ,"WealthTech, Digital Lending","Personal Financial Management / Planning, Balance Sheet Consumer Lending, Savings-as-a-Service (SaaS)",2015,2015,Private,Cayman Islands,Brazil,51-200,,,
Active,Xero ,Enterprise Tech Provisioning,"Digital Accounting, Electronic Invoicing, Cloud Computing",2012,2006,Public,New Zealand,New Zealand,1001-5000,,,
Active,Xentum,Cryptoasset Exchange,Retail Brokerage Services,2017,2015,Public,Switzerland,Switzerland,,,,
Active,Xendit ,"Digital Payments, Enterprise Tech Provisioning","Payment Gateways, Top-ups & Refills, API Hubs for Payments, Bulk Payment Solutions, Digital Remittances (Cross Border-P2P), Financial Management & Business Intelligence, Electronic Invoicing",,2015,Private,Indonesia,Indonesia,201-500,,,
Active,Xchange.me,Cryptoasset Exchange,Retail Brokerage Services,2018,2018,Private,Marshall Islands,Marshall Islands,,,,
Active,XBTeller,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),2019,2014,Private,United States,United States,,,,
Active,Xblocksystems,"Enterprise Tech Provisioning, Digital Identity","Enterprise Blockchain, Security & Biometrics",2016,2019,Private,"Korea, Rep.","Korea, Rep.",1-10,,,
Active,Xapo,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Hosted Cryptoasset Wallet",,2014,Private,Cayman Islands,Switzerland,350,,,
Active,Wyre,"Digital Payments, Cryptoasset Exchange","Money Transfer (Cryptoasset), Single Dealer Platform / OTC Trading",2013,2013,Private,United States,United States,,,,
Active,Wuabi,Digital Capital Raising,"Reward-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2017,2016,Private,Argentina,Argentina,,,,
Active,Wrisk,InsurTech,"Customer Management, On-Demand Insurance, Usage-Based Insurance",2017,2016,Private,United Kingdom,United Kingdom,11-50,,,
Active,Wrapbook,"Enterprise Tech Provisioning, RegTech, InsurTech","Digital Accounting, Financial Management & Business Intelligence, Regulatory Reporting, Digital Brokers or Agents",2018,2020,Private,United States,United States,51-200,,,
Active,WorldRemit ,Digital Payments,Digital Remittances (Cross Border-P2P),2009,2010,Private,United Kingdom,United Kingdom,1001-5000,,,
Inactive,WorldKoins,Digital Custody,eMoney Wallet,2015,2016,Private,Malaysia,Malaysia,1-10,2019,,
Active,Worldcoo,Digital Capital Raising,Donation-Based Crowdfunding,2012,2014,Private,Spain,Spain,30,,,
Active,World Cover,InsurTech,Parametric-Based Insurance,2015,2021,Non profit,United States,United States,11-50,,,
Active,Workinvoice,Digital Lending,Invoice Trading,2013,2016,Private,Italy,Italy,6,,,
Active,WorkFusion,Enterprise Tech Provisioning,AI / ML / NLP,2010,2010,Private,United States,United States,201-500,,,
Active,WOOP food,Digital Capital Raising,Reward-Based Crowdfunding,2015,2015,Private,Italy,Italy,6,,,
Inactive,Wonga.com,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Business Lending",2007,2007,Private,United Kingdom,United Kingdom,501-1000,2018,,
Active,Wollit,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Credit Scoring",2017,2013,Private,United Kingdom,United Kingdom,1-10,,,
Active,Wiwin,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,Germany,Germany,11-50,,,
Active,Wisr,Digital Lending,P2P / Marketplace Consumer Lending,2006,2006,Public,Australia,Australia,76,,,
Active,Wishfin,"InsurTech, WealthTech","Comparison Portal, Financial Comparison Sites",2015,2016,Private,India,India,201-500,,,
Active,Wishberry,Digital Capital Raising,Reward-Based Crowdfunding,2011,2012,Private,India,India,6,,,
Active,Wiseree,Cryptoasset Exchange,Order-Book,,2020,Private,Indonesia,Indonesia,1-10,,,
Active,WiSEED,Digital Capital Raising,"Equity-Based Crowdfunding, Community Shares, Real Estate Crowdfunding",2011,2012,Private,France,France,30,,,
Inactive,WiseBanyan,WealthTech,"Personal Financial Management / Planning, Digital Wealth Management, Pension-Led Funding",2013,2014,Private,United States,United States,11-50,2019,,
Active,WiseAlpha,"Digital Lending, WealthTech","Debt-Based Securities, Personal Financial Management / Planning",2014,2015,Private,United Kingdom,United Kingdom,11-50,,,
Active,Wise,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Bulk Payment Solutions",2011,2011,Private,United Kingdom,United States,1001-5000,,,
Active,Winngie,"Cryptoasset Exchange, Digital Payments","P2P Cryptoasset Marketplaces, Money Transfer (P2P / P2B / B2P / B2B)",2018,2019,Private,Turkey,Turkey,11-50,,,
Active,WING Money,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Bulk Payment Solutions, Top-ups & Refills, Acquiring Services Providers for Merchants",2008,2008,Private,Thailand,Cambodia,501-1000,,,
Active,Windcentrale,Digital Capital Raising,Equity-Based Crowdfunding,2010,2015,Private,Netherlands,Netherlands,6,,,
Active,Wilobank,"Digital Lending, Digital Payments, Digital Banks","Balance Sheet Consumer Lending, Money Transfer (P2P / P2B / B2P / B2B), Fully Digitally Native Bank (Retail)",2017,2018,Private,Argentina,Argentina,11-50,,,
Active,will bank,"Digital Payments, WealthTech, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Personal Financial Management / Planning, Agent Banking (Cash-In / Cash-Out)",2012,2017,Private,Brazil,Brazil,201-500,,,
Active,Wibong.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2015,Private,China,China,30,,,
Active,Whitestream LTD,RegTech,Blockchain Forensics,,2019,Private,Israel,Israel,,,,
Active,WhenThen,Enterprise Tech Provisioning,API Management,2020,2021,Private,Ireland,Ireland,11-50,,,
Active,WhatsLoan,Digital Lending,P2P / Marketplace Consumer Lending,2019,2014,Private,India,India,11-50,,,
Active,Weza,"Alternative Credit Analytics, Enterprise Tech Provisioning, Digital Banks","Credit Scoring, Financial Management & Business Intelligence, Banking-as-a-Service (BaaS)",2016,2018,Private,Kenya,Kenya,11-50,,,
Active,WeShareBonds,"Digital Lending, WealthTech, Digital Capital Raising","Debt-Based Securities, Mini-Bonds, Robo-Advisors, Real Estate Crowdfunding",2015,2016,Private,France,France,11-50,,,
Active,Werealize.it,Digital Capital Raising,Reward-Based Crowdfunding,2011,2015,Private,Italy,Italy,,,,
Active,Wenance,Digital Lending,Balance Sheet Consumer Lending,2014,2014,Private,Argentina,Argentina,,,,
Active,Wemakeit,Digital Capital Raising,Reward-Based Crowdfunding,2012,2014,Private,Switzerland,Switzerland,30,,,
Active,Welten FinTech ,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Top-ups & Refill (Cryptoasset), Money Transfer (P2P / P2B / B2P / B2B)",2016,2016,Private,Chile,Chile,1-10,,,
Active,Wellesley,Digital Lending,P2P / Marketplace Property Lending,2013,2013,Private,United Kingdom,United Kingdom,176,,,
Active,Wellahealth,InsurTech,Digital Brokers or Agents,2014,2014,Private,Unidentified,Nigeria,18,,,
Active,WeLab,Digital Banks,Fully Digitally Native Bank (MSME),2014,2014,Private,"Hong Kong SAR, China","Hong Kong SAR, China",501-1000,,,
Active,WeInvest ,Enterprise Tech Provisioning,Financial Management & Business Intelligence,,2015,Private,Singapore,Singapore,51-200,,,
Active,Weijinsuo,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013,2013,Private,China,China,6,,,
Active,Weidai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2011,2011,Public,China,China,,,,
Active,Wefunder,Digital Capital Raising,Equity-Based Crowdfunding,2015,2013,Private,United States,United States,30,,,
Active,WEFOX,InsurTech,"On-Demand Insurance, Digital Brokers or Agents, Claims & Risk Management Solutions, IoT (including Telematics)",2021,2015,Private,Germany,Germany,501-1000,,,
Active,WeFinance,Digital Lending,P2P / Marketplace Consumer Lending,2014,2014,Private,United States,China,30,,,
Inactive,WeExchange,Cryptoasset Exchange,Order-Book,2012,2011,Private,Australia,Australia,,2013,,
Active,Weeshing,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2014,2015,Private,Chile,United States,30,,,
Inactive,Weel,Digital Lending,Invoice Trading,,2018,Private,Brazil,Brazil,51-200,2019,,
Active,WeDemand,Digital Capital Raising,Reward-Based Crowdfunding,2010,2010,Private,United States,United States,30,,,
Active,WeCan.Fund,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Donation-Based Crowdfunding, Reward-Based Crowdfunding",2010,2010,Private,Switzerland,Switzerland,6,,,
Active,Webull,"Cryptoasset Exchange, WealthTech","Order-Book, Retail Brokerage Services, Personal Financial Management / Planning",2017,2017,Private,United States,United States,51-200,,,
Active,WeBank,"Digital Banks, Enterprise Tech Provisioning","Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME), Cloud Computing, Enterprise Blockchain, AI / ML / NLP, Financial Management & Business Intelligence, Application development, Data aggregation",2014,2014,Private,China,China,668,,,
Active,WeAreStarting,Digital Capital Raising,Equity-Based Crowdfunding,2014,2014,Private,Italy,Italy,6,,,
Active,Wealthy,WealthTech,Digital Wealth Management,2015,2015,Private,India,India,51-200,,,
Inactive,WealthTrust,WealthTech,Digital Wealth Management,2015,2015,Private,India,India,1-10,2019,,
Active,Wealthsimple,"Cryptoasset Exchange, Digital Custody, Digital Payments, WealthTech, Digital Savings","P2P Cryptoasset Marketplaces, eMoney Wallet, Money Transfer (P2P / P2B / B2P / B2B), Digital Wealth Management, Robo-Advisors, Robo Retirement / Pension Planning, Personal Financial Management / Planning, Digital Micro Saving Solutions",2016,2016,Private,Canada,Canada,501-1000,,,
Active,wealthpilot,WealthTech,Digital Wealth Management,2017,2018,Private,Germany,Germany,51-200,,,
Active,WealthNavi,WealthTech,Robo-Advisors,2015,2015,Public,Japan,Japan,51-200,,,
Active,WEALTHI TECHFIN,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Customer Cash-Advance, Credit Scoring",2016,2018,Private,Thailand,Thailand,11-50,,,
Active,Wealthfront,"WealthTech, Digital Lending, Digital Banks, Digital Payments","Digital Wealth Management, Robo-Advisors, Personal Financial Management / Planning, Balance Sheet Consumer Lending, Fully Digitally Native Bank (Retail), Money Transfer (P2P / P2B / B2P / B2B), KYC & AML",2007,2008,Private,United States,United States,201-500,,,
Active,WealthForge,Digital Capital Raising,Equity-Based Crowdfunding,2010,2013,Private,United States,United States,30,,,
Active,WealthArc,WealthTech,"Digital Wealth Management, API Interface",,2015,Private,Switzerland,Switzerland,11-50,,,
Active,WealthApp,WealthTech,Robo-Advisors,2016,2019,Private,India,India,11-50,,,
Active,Wealth Migrate,Digital Capital Raising,Real Estate Crowdfunding,2010,2013,Private,South Africa,United States,30,,,
Inactive,We Use Coins,Cryptoasset Exchange,"Aggregation, Education and Training",2010,2011,Private,United States,St. Kitts and Nevis,,2018,,
Active,We Do Good,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2015,2015,Private,France,France,1-10,,,
Inactive,WazirX,Cryptoasset Exchange,"Order-Book, P2P Cryptoasset Marketplaces",,2018,Private,Unidentified,India,11,2019,,
Active,WazInsure,"Enterprise Tech Provisioning, InsurTech","Financial Management & Business Intelligence, Claims & Risk Management Solutions",2017,2017,Private,Kenya,Kenya,1-10,,,
